# 29 8 52 
1191200 2 1 634 |5 2 2 10 |8 2 1 0 |11 2 2 15 |14 2 1 1 |17 2 2 2 |20 2 1 3 |23 2 2 4 |26 2 1 11 |29 2 2 13 |32 2 1 12 |35 2 2 14 |38 2 1 16 |41 2 2 634 |44 2 1 634 |47 2 2 634 |50 2 1 634 |53 2 2 634 |56 2 1 634 |59 2 2 634 |
2 3 2 634 |5 3 1 634 |8 3 2 634 |11 3 1 634 |14 3 2 634 |17 3 1 634 |20 3 2 634 |23 3 1 634 |26 3 2 634 |29 3 1 634 |32 3 2 634 |35 3 1 634 |38 3 2 634 |41 3 1 634 |44 3 2 634 |47 3 1 634 |50 3 2 634 |53 3 1 634 |56 3 2 634 |59 3 1 634 |
2 4 1 634 |5 4 2 634 |8 4 1 634 |11 4 2 634 |14 4 1 634 |17 4 2 634 |20 4 1 634 |23 4 2 634 |26 4 1 634 |29 4 2 634 |32 4 1 634 |35 4 2 634 |38 4 1 634 |41 4 2 634 |44 4 1 634 |47 4 2 634 |50 4 1 634 |53 4 2 634 |56 4 1 634 |59 4 2 634 |
2 5 2 634 |5 5 1 634 |8 5 2 634 |11 5 1 634 |14 5 2 634 |17 5 1 634 |20 5 2 634 |23 5 1 634 |26 5 2 634 |29 5 1 634 |32 5 2 634 |35 5 1 634 |38 5 2 634 |41 5 1 634 |44 5 2 634 |47 5 1 634 |50 5 2 634 |53 5 1 634 |56 5 2 634 |59 5 1 634 |
2 6 1 634 |5 6 2 634 |8 6 1 634 |11 6 2 634 |14 6 1 634 |17 6 2 634 |20 6 1 634 |23 6 2 634 |26 6 1 634 |29 6 2 634 |32 6 1 634 |35 6 2 634 |38 6 1 634 |41 6 2 634 |44 6 1 634 |47 6 2 634 |50 6 1 634 |53 6 2 634 |56 6 1 634 |59 6 2 634 |
2 7 2 634 |5 7 1 634 |8 7 2 634 |11 7 1 634 |14 7 2 634 |17 7 1 634 |20 7 2 634 |23 7 1 634 |26 7 2 634 |29 7 1 634 |32 7 2 634 |35 7 1 634 |38 7 2 634 |41 7 1 634 |44 7 2 634 |47 7 1 634 |50 7 2 634 |53 7 1 634 |56 7 2 634 |59 7 1 634 |
2 8 1 634 |5 8 2 634 |8 8 1 634 |11 8 2 634 |14 8 1 634 |17 8 2 634 |20 8 1 634 |23 8 2 634 |26 8 1 634 |29 8 2 634 |32 8 1 634 |35 8 2 634 |38 8 1 634 |41 8 2 634 |44 8 1 634 |47 8 2 634 |50 8 1 634 |53 8 2 634 |56 8 1 634 |59 8 2 634 |
2 9 2 634 |5 9 1 634 |8 9 2 634 |11 9 1 634 |14 9 2 634 |17 9 1 634 |20 9 2 634 |23 9 1 634 |26 9 2 634 |29 9 1 634 |32 9 2 634 |35 9 1 634 |38 9 2 634 |41 9 1 634 |44 9 2 634 |47 9 1 634 |50 9 2 634 |53 9 1 634 |56 9 2 634 |59 9 1 634 |
2 10 1 634 |5 10 2 634 |8 10 1 634 |11 10 2 634 |14 10 1 634 |17 10 2 634 |20 10 1 634 |23 10 2 634 |26 10 1 634 |29 10 2 634 |32 10 1 634 |35 10 2 634 |38 10 1 634 |41 10 2 634 |44 10 1 634 |47 10 2 634 |50 10 1 634 |53 10 2 634 |56 10 1 634 |59 10 2 634 |
2 11 2 634 |5 11 1 634 |8 11 2 634 |11 11 1 634 |14 11 2 634 |17 11 1 634 |20 11 2 634 |23 11 1 634 |26 11 2 634 |29 11 1 634 |32 11 18 634 |35 11 1 634 |38 11 2 634 |41 11 1 634 |44 11 2 634 |47 11 1 634 |50 11 2 634 |53 11 1 634 |56 11 2 634 |59 11 1 634 |
