# 2 6 120 0 3 1
2 2 1 0   | 5 2 2 0   | 8 2 1 0   | 11 2 2 0  | 14 2 1 0   | 17 2 2 0  | 20 2 1 0  | 23 2 2 0   | 26 2 1 0   | 29 2 2 0   | 32 2 1 0    | 35 2 2 0   | 38 2 1 10  | 41 2 2 10  | 44 2 1 3   | 47 2 2 0   | 50 2 1 13  | 53 2 2 14 | 56 2 1 14  | 59 2 2 14 |
2 3 2 0   | 5 3 1 0   | 8 3 2 10  | 11 3 1 10 | 14 3 2 10  | 17 3 1 0  | 20 3 2 0  | 23 3 1 16  | 26 3 2 10  | 29 3 1 13  | 32 3 2 0    | 35 3 1 10  | 38 3 2 3   | 41 3 1 0   | 44 3 2 10  | 47 3 1 10  | 50 3 2 14  | 53 3 1 12 | 56 3 2 13  | 59 3 1 11 |
2 4 1 0   | 5 4 2 0   | 8 4 1 3   | 11 4 2 0  | 14 4 1 13  | 17 4 2 0  | 20 4 1 0  | 23 4 2 0   | 26 4 1 11  | 29 4 2 13  | 32 4 1 10   | 35 4 2 10  | 38 4 1 0   | 41 4 2 3   | 44 4 1 10  | 47 4 2 0   | 50 4 1 12  | 53 4 2 11 | 56 4 1 12  | 59 4 2 11 |
2 5 2 0   | 5 5 1 0   | 8 5 2 10  | 11 5 1 0  | 14 5 2 12  | 17 5 1 10 | 20 5 2 3  | 23 5 1 10  | 26 5 2 10  | 29 5 1 14  | 32 5 2 10   | 35 5 1 10  | 38 5 2 0   | 41 5 1 10  | 44 5 2 16  | 47 5 1 0   | 50 5 2 10  | 53 5 1 0  | 56 5 2 3   | 59 5 1 10 |
2 6 1 10  | 5 6 2 10  | 8 6 1 2   | 11 6 2 10 | 14 6 1 0   | 17 6 2 3  | 20 6 1 3  | 23 6 2 10  | 26 6 1 10  | 29 6 2 10  | 32 6 1 10   | 35 6 2 10  | 38 6 1 0   | 41 6 2 0   | 44 6 1 3   | 47 6 2 0   | 50 6 1 10  | 53 6 2 0  | 56 6 1 10  | 59 6 2 0  |
2 7 2 0   | 5 7 1 0   | 8 7 2 10  | 11 7 1 0  | 14 7 2 0   | 17 7 1 0  | 20 7 2 0  | 23 7 1 0   | 26 7 2 0   | 29 7 1  3  | 32 7 2 10   | 35 7 1 0   | 38 7 2 13  | 41 7 1 10  | 44 7 2 10  | 47 7 1 0   | 50 7 2 10  | 53 7 1 10 | 56 7 2 3   | 59 7 1 4  |
2 8 1 0   | 5 8 2 0   | 8 8 1 4   | 11 8 2 10 | 14 8 1 2   | 17 8 2 10 | 20 8 1 14 | 23 8 2 10  | 26 8 1 0   | 29 8 2 10  | 32 8 1 4    | 35 8 2 13  | 38 8 1 14  | 41 8 2 10  | 44 8 1 0   | 47 8 2 0   | 50 8 1 10  | 53 8 2 0  | 56 8 1 0   | 59 8 2 0  |
2 9 2 16  | 5 9 1 0   | 8 9 2 0   | 11 9 1 0  | 14 9 2 10  | 17 9 1 0  | 20 9 2 0  | 23 9 1 10  | 26 9 2 0   | 29 9 1 10  | 32 9 2 14   | 35 9 1 14  | 38 9 2 0   | 41 9 1 10  | 44 9 2 0   | 47 9 1 10  | 50 9 2 10  | 53 9 1 2  | 56 9 2 10  | 59 9 1 0  |
2 10 1 7  | 5 10 2 0  | 8 10 1 0  | 11 10 2 0 | 14 10 1 10 | 17 10 2 0 | 20 10 1 0 | 23 10 2 10 | 26 10 1 10 | 29 10 2 10 | 32 10 1 11  | 35 10 2 14 | 38 10 1 4  | 41 10 2 10 | 44 10 1 0  | 47 10 2 10 | 50 10 1 0  | 53 10 2 3 | 56 10 1 3  | 59 10 2 0 |
2 11 2 10 | 5 11 1 10 | 8 11 2 10 | 11 11 1 3 | 14 11 2 10 | 17 11 1 0 | 20 11 2 0 | 23 11 1 11 | 26 11 2 11 | 29 11 1 11 | 32 11 16 11 | 35 11 1 0  | 38 11 2 0  | 41 11 1 10 | 44 11 2 3  | 47 11 1 11 | 50 11 2 0  | 53 11 1 3 | 56 11 2 16 | 59 11 1 0 |
